name	id
Mauritania	0
Bahrain	1
Colombia	2
Côte d'Ivoire	3
Georgia	4
Suriname	5
Qatar	7
Central African Republic	8
United States of America	9
Dominican Republic	11
Kuwait	12
Afghanistan	13
Saint Helena, Ascension and Tristan da Cunha	14
Mongolia	15
Nicaragua	16
Lithuania	17
Cayman Islands	18
Paraguay	20
South Africa	21
Rwanda	22
Bangladesh	23
Moldova	24
Swaziland	25
Peru	27
Congo	28
Armenia	29
Cambodia	30
Gambia	31
Ghana	32
Haiti	33
Iceland	34
Lebanon	35
Libya	38
Laos	39
Hong Kong	40
El Salvador	42
Bermuda	43
Jamaica	45
Austria	46
Uganda	48
Maldives	49
Brunei Darussalam	50
Trinidad and Tobago	51
Greece	53
Botswana	54
Canada	55
United Arab Emirates	56
Saudi Arabia	58
Sierra Leone	59
Antarctica	60
Faroe Islands	62
Gabon	63
Ecuador	64
Cyprus	65
Tajikistan	67
Benin	68
Somalia	70
Belarus	71
China	72
Israel	73
Indonesia	74
Slovenia	75
Albania	76
Curaçao	77
Nigeria	78
Slovakia	79
Syrian Arab Republic	80
Tonga	81
Malaysia	82
Serbia	83
South Korea	84
Cuba	85
Japan	86
New Caledonia	89
Argentina	90
Montserrat	91
Papua New Guinea	94
Jordan	95
Norway	96
Pakistan	97
Lesotho	100
Virgin Islands (British)	101
Kazakhstan	102
Antigua and Barbuda	103
Aruba	105
Azerbaijan	106
Myanmar	107
Cook Islands	108
Romania	109
Sweden	110
Turks and Caicos Islands	111
Venezuela	112
Mexico	113
Montenegro	116
Northern Mariana Islands	117
Honduras	119
Estonia	121
Finland	122
Macao	123
Sao Tome and Principe	124
Cameroon	125
Guam	126
Bhutan	127
Eritrea	128
Russian Federation	129
Senegal	130
Thailand	133
Turkey	134
Brazil	137
Ukraine	138
Zambia	139
Belize	142
Barbados	143
Latvia	144
Congo (Democratic Republic of the)	145
Samoa	146
Madagascar	147
Chile	148
Saint Vincent and the Grenadines	149
Iran	150
Niger	151
Malawi	152
Poland	153
French Polynesia	154
Palau	155
Denmark	157
Croatia	160
Italy	162
Mozambique	163
Australia	164
Switzerland	165
Zimbabwe	166
Saint Lucia	167
United Kingdom	168
Morocco	169
Malta	170
Portugal	172
Fiji	174
Taiwan	175
United States Minor Outlying Islands	177
Undeclared Countries	178
Bulgaria	179
Luxembourg	181
Netherlands	182
Uzbekistan	183
Kenya	184
Spain	185
Ireland	188
Nepal	189
Dominica	190
Sri Lanka	191
India	193
Oman	194
Comoros	195
North Korea	197
Timor-Leste	198
Anguilla	199
Guinea-Bissau	200
Vietnam	201
Sudan	202
Tanzania	203
St-Martin / St Maarten	204
Algeria	205
Costa Rica	206
Kyrgyzstan	207
Uruguay	208
Philippines	210
Namibia	211
Tunisia	212
Palestine	213
France	214
Angola	215
Togo	217
Bonaire	218
Germany	219
Belgium	220
Chad	221
Bouvet Island	222
Hungary	223
Singapore	224
New Zealand	225
Ethiopia	226
Guatemala	227
Burundi	228
Mauritius	229
Panama	230
Egypt	231
Czech Republic	232
Iraq	233
