ori	dest	value
195	194	493185
152	182	7351696
64	56	6986488
82	27	110465953
138	147	157999
12	106	210301
178	83	11261
45	168	72080013
125	73	8709687
168	113	2312470873
213	112	23338
79	211	308336
174	142	19778
83	133	10250929
188	167	2361
219	77	1750769
101	206	2151
201	232	96056918
219	72	99992178708
102	129	9307423034
15	226	14290
125	146	2089
177	182	142334
224	122	272357032
0	133	17913651
22	223	525398
188	113	368213326
166	188	12831191
90	58	233648765
133	208	41976359
232	4	22545953
149	157	1746058
7	119	693056
168	2	571901775
117	84	15138309
28	54	50532
21	80	215382
5	12	5036
40	202	1838631
86	201	15091982531
65	14	5485
105	188	163084
65	4	651956
188	106	67302921
123	21	901619
71	62	3732930
91	53	25840
50	95	65518
103	197	3229336
108	148	11772
86	229	28867586
194	207	2107
75	172	53053605
72	90	4615674896
9	154	34786270
31	201	4536341
39	157	1386284
178	157	11785096209
46	95	3581889
105	179	19738
1	49	9825
226	121	834983
133	90	558670351
163	123	11480
214	200	23882
43	56	96293
125	129	72100581
64	76	934478
202	35	13768447
129	182	4639844241
193	117	27809
54	148	81458
212	116	13062
53	154	569576
72	230	36073832
151	48	595799
46	45	104206
45	86	285335253
206	188	50825531
134	1	121390901
182	62	24012180
153	193	1970568181
5	111	13901
133	138	543944306
84	107	435730856
58	51	341494
106	17	30816182
29	122	8185992
123	148	103365
23	116	3217087
31	153	6193452
218	45	101619
163	74	35107618
34	147	13790
15	76	98629
27	203	1078
70	129	860606
182	137	10322772245
206	97	8031792
84	78	498615977
190	64	109213
206	202	4170
231	107	862968
96	64	33682949
0	75	29101
147	3	307117
127	109	46746
97	13	369897464
82	116	246321
126	225	6039989
225	217	27391
84	60	5246577
71	82	2851991
175	86	38923131349
48	157	23160434
33	188	2575579
5	21	17767246
164	143	1645549
129	166	55493904
165	197	35939
9	202	14635938
67	144	6054491
226	207	1534446
191	189	198853
55	76	6133822
202	130	652021
74	55	1179933014
24	74	4419361
144	39	136896
206	172	12805393
3	229	472545
148	55	564762714
13	212	86573
172	152	25692958
232	119	4571395
125	89	11210
96	232	741423841
11	25	720381
45	129	1115673
204	179	301573
95	11	971330
199	74	169438
205	190	5794
200	46	88376
81	226	296304
162	8	1231908
205	68	16626
12	109	42635190
211	168	41156674
220	90	373714781
84	154	199616
15	179	2282212
33	168	17551356
74	58	2588780596
8	181	99757
227	30	120929
233	191	111696016
71	22	60516
232	58	67583322
128	214	3239771
134	225	71164238
51	110	12602708
79	221	4996
175	83	12655705
55	51	136286655
58	110	1079621650
228	110	234995
150	179	75558775
95	205	62734968
34	139	4966
225	230	774915
100	17	1846
153	119	7844588
155	96	4271
2	185	969272044
229	215	73768
113	16	661943519
73	211	26884296
221	79	6343
54	163	114978328
94	134	1631445
95	4	1315078
45	160	68124
45	181	120700
67	84	17801482
133	76	716504
11	107	130059
212	202	11423828
4	150	80223805
211	63	1964
172	201	272022469
62	181	66884
210	177	12970
130	215	1372555
55	59	1712874
32	23	708049
21	184	18866634
170	42	7765
145	185	26376430
62	79	608890
65	130	1202659
233	113	19848892
38	220	130724921
67	17	21229217
49	40	14414830
28	74	47343796
0	63	1077906
110	217	189735
151	17	58252
23	121	526063
142	86	10848759
20	82	20882798
75	169	266286985
212	25	57617
183	110	14729257
198	74	225904962
31	121	136716
172	226	5332972
182	27	992423012
191	233	512095
67	191	487860
204	232	72209
138	205	3283490
12	107	9538250
117	133	832369
48	168	64373597
78	184	32075180
32	50	1174
231	182	1383587034
175	49	2538352
75	17	41688667
74	50	83338511
73	25	28295
190	210	106596
17	212	1332509
143	111	6335
34	90	1980605
18	71	1400
183	129	1964962563
86	2	612879680
78	222	12683
153	124	4031707
85	133	5341992
201	231	22069487
230	201	272038389
200	27	115754
205	83	70668878
9	172	2997381479
130	170	2427335
15	83	931979
